time_of_day,track_name,artist_name
Afternoon,I'm Like A Bird,Nelly Furtado
Evening,Stay Together For The Kids,blink-182
Evening,Famous Last Words,My Chemical Romance
Evening,Love The Hell Out Of You - From The Motion Picture 'It Ends With Us',Lewis Capaldi
Evening,Pointless,Lewis Capaldi
Evening,The Pretender,Lewis Capaldi
Evening,Stockholm,Peg Parnevik
Evening,Tillsammans,Reyn
Evening,Bara brudar,Sofie Svensson & Dom Där
Evening,Vi lever tills vi dör,Pär Wiksten
Evening,Mandy,Luc1ano
Evening,Year 3000,Busted
Evening,I'm In Love,Sanna Nielsen
Evening,Sexual Healing - Kygo Remix,Marvin Gaye
Evening,Heaven Is A Place On Earth,Belinda Carlisle
Evening,Feel the Love - Sam Feldt Edit,Janieck
Evening,Välkommen in,Veronica Maggio
Evening,Sunnanvind,Mares
Evening,Hälsa Gud,Miss Li
Evening,Hon dansar vidare i livet,Hov1
Evening,Boys Will Be Boys,Dua Lipa
Evening,Break My Heart,Dua Lipa
Evening,Physical,Dua Lipa
Evening,IDGAF,Dua Lipa
Evening,Houdini,Dua Lipa
Evening,Live The Moment,JDX
Evening,Rhythm Of The Night,Sound Rush
Evening,Das Boot,Noisecontrollers
Evening,Starlight,Frequencerz
Evening,Victorious,Psyko Punkz
Evening,abcdefu,GAYLE
Evening,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette
Evening,The Best Of Me,The Starting Line
Evening,Cruel Summer,Taylor Swift
Evening,Dum av dej,Naod
Evening,Under någon ny,Miriam Bryant
Evening,Lilla B,Hov1
Evening,Farväl,Bolaget
Evening,On The Floor,Jennifer Lopez
Evening,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld
Evening,Strip That Down (feat. Quavo),Liam Payne
Evening,Crazy In Love (feat. Jay-Z),Beyoncé
Night,Unknown Track,Unknown Artist
Night,Unstoppable,Sia
Night,Music Of The Mind,Envine
Night,Doomslayer,Thorax
Night,Never Let Go,descent
Night,Send Me On My Way,Rusted Root
Night,Renegades,X Ambassadors
Night,Here's to Us,Halestorm
Night,Sail,AWOLNATION
Night,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor
Night,I Dreamed A Dream,Roofies Dragon
Night,Noticed,Avieone
Night,Bliss,Theodore Brim
Night,Desear,Julia Alvarez
Night,Sumi,Zamphire
Night,Se på mig,Jan Johansen
Night,Jag ljuger så bra,Linda Bengtzing
Night,Lyssna till ditt hjärta,Friends
Night,Temple of Love - Radio Edit,BWO
Night,Glorious,Andreas Johnson
Night,Everytime,Britney Spears
Night,Kiss from a Rose,Seal
Night,Hero,Enrique Iglesias
Night,White Flag,Dido
Night,The Ocean (feat. Shy Martin),Mike Perry
Night,Pin the Grenade,blink-182
Night,1985,Bowling For Soup
Night,Jet Lag (feat. Natasha Bedingfield),Simple Plan
Night,Ocean Avenue,Yellowcard
Night,Boulevard of Broken Dreams,Green Day
Night,Hips Don't Lie (feat. Wyclef Jean),Shakira
Night,I'm Good (Blue),David Guetta
Night,Despacito,Luis Fonsi
Night,Blinding Lights,The Weeknd
Night,Yellow,Coldplay
Night,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift
Night,September - Recorded at The Tracking Room Nashville,Taylor Swift
Night,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift
Night,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift
Night,Cornelia Street,Taylor Swift
Evening,Ingen annan rör mig som du,Norlie & KKV
Evening,Nätterna,Thomas Stenström
Evening,Someone New,Eskobar
Afternoon,Cruel Summer,Taylor Swift
Afternoon,Always,blink-182
Afternoon,Imaginary,Brennan Heart
Afternoon,Exorcist,Octatonez
Afternoon,Undulatus,Naden
Afternoon,Malo Tebya,puremind
Afternoon,Never Let Go,descent
Afternoon,Clarity (Hardstyle),Connor Gallagher
Afternoon,So What (Sped Up Edit),Mqx
Afternoon,The Little Mushroom That Got Away,Sultan + Shepard
Afternoon,Transcendence,Neolux
Afternoon,Doomslayer,Thorax
Afternoon,Destination (A State of Trance 2024 Anthem),Armin van Buuren
Afternoon,Palace In The Clouds,MYST
Afternoon,Damage,Vini Vici
Afternoon,Say Yes To Heaven - Anyma Remix,Lana Del Rey
Afternoon,Rising Up,Brennan Heart
Afternoon,Surrender,D-Charged
Afternoon,Положение - 2 Remix,Dior
Afternoon,Silence - KAAZE Mix,BLK RSE
Afternoon,Frozen,Madonna
Afternoon,Beyond The Wall - Original Mix,The Second Wave
Afternoon,Blue Flame,Soman
Afternoon,Apollo - Electro Mix,Astronaut
Afternoon,Collide,BLVCK CROWZ
Afternoon,Univerze - Extended Mix,Rebourne
Afternoon,Lullabye - Tuz Remix,Uberjak'd
Afternoon,Save My Life (feat. Lovespeake),David Guetta
Afternoon,Born To Die - BLK RSE Mix,KAAZE
Afternoon,Close to You (feat. PollyAnna),Steve Aoki
Afternoon,Uprising,Uppermost
Afternoon,Halo,Vakhtang
Afternoon,Alchemy - ShockOne Remix,Blanke
Afternoon,Waveline,Lexurus
Afternoon,Eternity (feat. Lena Leon),Tchami
Afternoon,Infinity,Neolux
Afternoon,HUMANS - VIP REMIX,GEN.KLOUD
Morning,Always,blink-182
Evening,Always,blink-182
Evening,Stockholm Syndrome,blink-182
Evening,DANCE WITH ME,blink-182
Evening,The Rock Show,blink-182
Evening,Wishing Well,blink-182
Evening,Limitless,D-Sturb
Evening,LOVE THE WAY,Rooler
Evening,Still Happy,Vertile
Evening,Adrenaline Overload,Sound Rush
Evening,Blackout,Kronos
Evening,Shine,PENTAGON
Evening,PLAYING WITH FIRE,BLACKPINK
Evening,Creation of Earth,Thomas Bergersen
Evening,FRIENDS,Marshmello
Evening,no tears left to cry,Ariana Grande
Evening,Where Have You Been,Rihanna
Evening,"Whenever, Wherever",Shakira
Evening,Josefin,Albin Lee Meldau
Evening,Would I Lie To You? - Album Edit,Charles & Eddie
Evening,august,Taylor Swift
Evening,22 (Taylor's Version),Taylor Swift
Evening,Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),Taylor Swift
Evening,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift
Evening,Hits Different,Taylor Swift
Evening,Anti-Hero,Taylor Swift
Evening,All The Small Things,blink-182
Evening,Every Breath You Take,The Police
Evening,Drive - 2017 Remaster,The Cars
Evening,Wind Of Change,Scorpions
Evening,Basket Case,Green Day
Evening,Mr. Brightside,The Killers
Evening,An Angel's Love,Alex M.O.R.P.H.
Evening,Show Me the Meaning of Being Lonely,Backstreet Boys
Evening,Iris,The Goo Goo Dolls
Evening,We Found Love,Rihanna
Evening,Ghost,Justin Bieber
Evening,As It Was,Harry Styles
Evening,Bones,Imagine Dragons
Evening,vampire,Olivia Rodrigo
Evening,Fast Car,Jonas Blue
Evening,In the Name of Love,Martin Garrix
Evening,Sugar (feat. Francesco Yates),Robin Schulz
Evening,Solo Dance,Martin Jensen
Evening,No Promises (feat. Demi Lovato),Cheat Codes
Evening,Twilight Zone - Edit,D-Block & S-te-Fan
Evening,Exorcist,Octatonez
Evening,'74-'75,The Connells
Evening,Welcome to the Black Parade,My Chemical Romance
Evening,Blame It on Me,George Ezra
Evening,Dancing on My Own,Robyn
Evening,Royals,Lorde
Evening,The River,Good Charlotte
Evening,Dynamite,Taio Cruz
Evening,Du finns inom mig,Pelle Ankarberg
Evening,Vaggvisa (ute blåser sommarvind),Lill Lindfors
Evening,Vaggsång,Röda Bönor
Evening,Ser du månen där du är ikväll? (Tillsammans igen),Lilla Ärtan
Evening,Jämtländsk vaggvisa,Allan Edwall
Evening,Run Run Run - 2006 Remastered Version,Gyllene Tider
Evening,Jag och min far,Magnus Uggla
Evening,Still - Recorded at Spotify Studios Stockholm,Hov1
Evening,Se på mig,Jan Johansen
Evening,0 To 100 / The Catch Up,Drake
Evening,Kissing Strangers,DNCE
Evening,That's My Girl,Fifth Harmony
Evening,I Can´t Go On,Robin Bengtsson
Evening,Power (feat. Stormzy),Little Mix
Evening,maybe (feat. Bring Me The Horizon),mgk
Evening,Bois Lie (feat. Machine Gun Kelly),Avril Lavigne
Evening,EDGING,blink-182
Evening,nothing inside (feat. iann dior),mgk
Evening,kiss kiss,mgk
Evening,Jag ljuger så bra,Linda Bengtzing
Evening,Här kommer alla känslorna (på en och samma gång),Per Gessle
Evening,Tusen och en natt,Charlotte Perrelli
Evening,"Sol, vind och vatten",Ted Gärdestad
Evening,Om,Niklas Strömstedt
Evening,You're The One That I Want - From “Grease”,John Travolta
Evening,Ex's & Oh's,Elle King
Evening,99 Luftballons,Nena
Evening,It's Raining Men - Single Version,The Weather Girls
Evening,The Show Must Go On - Remastered 2011,Queen
Evening,Timber,Pitbull
Evening,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5
Evening,Picture Of You,Boyzone
Evening,My Life Would Suck Without You,Kelly Clarkson
Evening,Hips Don't Lie (feat. Wyclef Jean),Shakira
Evening,Superheroes,The Script
Evening,Yellow,Coldplay
Evening,Despacito,Luis Fonsi
Evening,Blinding Lights,The Weeknd
