time_of_day,track_name,artist_name,bpm
Afternoon,"Dear Maria, Count Me In",All Time Low,High
Afternoon,Vem e som oss,Anis Don Demina,Medium
Afternoon,nothing inside (feat. iann dior),mgk,Medium
Afternoon,The Great Escape,BOYS LIKE GIRLS,Medium
Afternoon,Cannonball,Avril Lavigne,Medium
Afternoon,Fight For Something,Brennan Heart,Medium
Afternoon,EDGING,blink-182,Medium
Afternoon,Darkest Hour (The Clock),D-Block & S-te-Fan,Medium
Afternoon,kiss kiss,mgk,Medium
Afternoon,Unknown Track,Unknown Artist,Low
Afternoon,From Yesterday,Thirty Seconds To Mars,Medium
Afternoon,The Kill,Thirty Seconds To Mars,High
Afternoon,This Is War,Thirty Seconds To Mars,Medium
Afternoon,Stay Together For The Kids,blink-182,Medium
Afternoon,Famous Last Words,My Chemical Romance,High
Afternoon,Love The Hell Out Of You - From The Motion Picture 'It Ends With Us',Lewis Capaldi,Medium
Afternoon,Pointless,Lewis Capaldi,Medium
Afternoon,Wish You The Best,Lewis Capaldi,Low
Afternoon,Heavenly Kind Of State Of Mind,Lewis Capaldi,Medium
Afternoon,I'm Like A Bird,Nelly Furtado,Low
Evening,Stay Together For The Kids,blink-182,Medium
Evening,Famous Last Words,My Chemical Romance,High
Evening,Love The Hell Out Of You - From The Motion Picture 'It Ends With Us',Lewis Capaldi,Medium
Evening,Pointless,Lewis Capaldi,Medium
Evening,The Pretender,Lewis Capaldi,High
Evening,Stockholm,Peg Parnevik,Medium
Evening,Tillsammans,Reyn,Medium
Evening,Bara brudar,Sofie Svensson & Dom Där,Medium
Evening,Vi lever tills vi dör,Pär Wiksten,Medium
Evening,Mandy,Luc1ano,Medium
Evening,Year 3000,Busted,Medium
Evening,I'm In Love,Sanna Nielsen,Medium
Evening,Sexual Healing - Kygo Remix,Marvin Gaye,Medium
Evening,Heaven Is A Place On Earth,Belinda Carlisle,Medium
Evening,Feel the Love - Sam Feldt Edit,Janieck,Medium
Evening,Välkommen in,Veronica Maggio,Medium
Evening,Sunnanvind,Mares,Medium
Evening,Hälsa Gud,Miss Li,Medium
Evening,Hon dansar vidare i livet,Hov1,Medium
Evening,Boys Will Be Boys,Dua Lipa,Medium
Evening,Break My Heart,Dua Lipa,Medium
Evening,Physical,Dua Lipa,Medium
Evening,IDGAF,Dua Lipa,Medium
Evening,Houdini,Dua Lipa,High
Evening,Live The Moment,JDX,Medium
Evening,Rhythm Of The Night,Sound Rush,Medium
Evening,Das Boot,Noisecontrollers,Medium
Evening,Starlight,Frequencerz,Medium
Evening,Victorious,Psyko Punkz,Medium
Evening,abcdefu,GAYLE,Medium
Evening,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,Low
Evening,The Best Of Me,The Starting Line,Medium
Evening,Cruel Summer,Taylor Swift,Medium
Evening,Dum av dej,Naod,Medium
Evening,Under någon ny,Miriam Bryant,Medium
Evening,Lilla B,Hov1,Medium
Evening,Farväl,Bolaget,Medium
Evening,On The Floor,Jennifer Lopez,Medium
Evening,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,Medium
Evening,Strip That Down (feat. Quavo),Liam Payne,Medium
Evening,Crazy In Love (feat. Jay-Z),Beyoncé,Medium
Night,Unknown Track,Unknown Artist,Low
Night,Unstoppable,Sia,Medium
Night,Music Of The Mind,Envine,Medium
Night,Doomslayer,Thorax,Medium
Night,Never Let Go,descent,Medium
Night,Send Me On My Way,Rusted Root,Medium
Night,Renegades,X Ambassadors,Medium
Night,Here's to Us,Halestorm,Medium
Night,Sail,AWOLNATION,Medium
Night,"Burning Heart - From ""Rocky IV"" Soundtrack",Survivor,Medium
Night,I Dreamed A Dream,Roofies Dragon,Low
Night,Noticed,Avieone,Medium
Night,Bliss,Theodore Brim,Medium
Night,Desear,Julia Alvarez,Medium
Night,Sumi,Zamphire,High
Night,Se på mig,Jan Johansen,Medium
Night,Jag ljuger så bra,Linda Bengtzing,Medium
Night,Lyssna till ditt hjärta,Friends,Medium
Night,Temple of Love - Radio Edit,BWO,Medium
Night,Glorious,Andreas Johnson,High
Night,Everytime,Britney Spears,High
Night,Kiss from a Rose,Seal,Medium
Night,Hero,Enrique Iglesias,Medium
Night,White Flag,Dido,High
Night,The Ocean (feat. Shy Martin),Mike Perry,Medium
Night,Pin the Grenade,blink-182,High
Night,1985,Bowling For Soup,Medium
Night,Jet Lag (feat. Natasha Bedingfield),Simple Plan,Medium
Night,Ocean Avenue,Yellowcard,Medium
Night,Boulevard of Broken Dreams,Green Day,Low
Night,Hips Don't Lie (feat. Wyclef Jean),Shakira,Medium
Night,I'm Good (Blue),David Guetta,Medium
Night,Despacito,Luis Fonsi,High
Night,Blinding Lights,The Weeknd,High
Night,Yellow,Coldplay,Medium
Night,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,Medium
Night,September - Recorded at The Tracking Room Nashville,Taylor Swift,Medium
Night,I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,Medium
Night,Suburban Legends (Taylor's Version) (From The Vault),Taylor Swift,Medium
Night,Cornelia Street,Taylor Swift,Medium
Evening,Ingen annan rör mig som du,Norlie & KKV,Medium
Evening,Nätterna,Thomas Stenström,Medium
Evening,Someone New,Eskobar,Medium
Afternoon,Cruel Summer,Taylor Swift,Medium
Afternoon,Always,blink-182,Low
Afternoon,Imaginary,Brennan Heart,High
Afternoon,Exorcist,Octatonez,High
Afternoon,Undulatus,Naden,Medium
Afternoon,Malo Tebya,puremind,Medium
Afternoon,Never Let Go,descent,Medium
Afternoon,Clarity (Hardstyle),Connor Gallagher,Medium
Afternoon,So What (Sped Up Edit),Mqx,Medium
Afternoon,The Little Mushroom That Got Away,Sultan + Shepard,Medium
Afternoon,Transcendence,Neolux,Medium
Afternoon,Doomslayer,Thorax,Medium
